iter	Logloss
0	0.6529573193
1	0.6100854067
2	0.5722254802
3	0.5410762198
4	0.5074760125	5	0.4739270816	6	0.4470479917	7	0.4222361788	8	0.4004717169	9	0.3816479291010	0.3628601911	11	0.3480900612	12	0.3300017113	13	0.318283481414	0.3063518191515	0.2937359461616	0.2831576941717	0.2721927491818	0.2601832419	19	0.2532333720	20	0.2429025821	21	0.2363349922	22	0.2307674323	23	0.224107662424	0.2150016832525	0.2100175032626	0.2051208902727	0.2004734028	28	0.1972314829	29	0.192675730	030	0.189601031	031	0.185157632	032	0.181947133	033	0.178191334	034	0.17506135	0.35	0.17062336	0.36	0.16815137	0.37	0.1657838	0.138	0.16239	0.15739	0.1640	0.155540	0.1541	0.154141	0.1542	0.151442	0.1543	0.149443	0.1544	0.14744	0.15045	0.14545	0.14946	0.14446	0.14647	0.14247	0.14548	0.14148	0.14349	0.14149	0.14350	0.13950	0.14151	0.1351	0.14052	0.13752	0.13953	0.13653	0.13854	0.13454	0.13655	0.1355	0.134956	0.1356	0.133457	0.1357	0.132358	0.1358	0.131059	0.1259	0.130560	0.1260	0.129461	0.1261	0.128462	0.1262	0.127763	0.1263	0.127164	0.1264	0.126665	0.1265	0.125666	0.1266	0.125167	0.1267	0.124468	0.1268	0.123569	0.1269	0.122670	0.1270	0.122371	0.1271	0.121572	0.1272	0.121373	0.1273	0.120774	0.1274	0.120375	0.1175	0.120076	0.1176	0.119477	0.177	0.1193778	0.178	0.1186579	0.179	0.1183880	0.180	0.11881	0.11781	0.11782	0.11782	0.11683	0.11783	0.1184	0.116684	0.1185	0.116285	0.186	0.1162086	0.187	0.1161987	0.188	0.1160188	0.189	0.1158389	0.190	0.1156390	0.191	0.1152391	0.192	0.1146892	0.93	0.11450993	0.94	0.11424194	0.95	0.11402195	0.96	0.11391796	0.97	0.11363697	0.98	0.11337298	0.99	0.11301099	0100	0.112603100	0101	0.112409101102	0.11206447102103	0.11186162103104	0.11158486104105	0.11123841105106	0.11081499106107	0.11045479107108	0.11040357108109	0.11030469109110	0.11006690110111	0.1096694111	112	0.1095886112	113	0.109544113	0114	0.109422114	0115	0.109306115	0116	0.109182116	0117	0.109111117	0118	0.108808118	0119	0.108662119	0120	0.108267120	0121	0.108171121	0122	0.108115122	0123	0.108057123	0124	0.107897124	0125	0.107821125	0126	0.107754126	127	0.1076859127	128	0.1075945128	129	0.107549129	0130	0.107438130	0131	0.107436131	0132	0.107380132	0133	0.107345133	0134	0.107264134	0135	0.10714135	0.136	0.10706136	0.137	0.10697137	0.138	0.10693138	0.139	0.10690139	0.140	0.10679140	0141	0.106794141	0142	0.106678142143	0.10651805143144	0.1063990144	145	0.106319145	0146	0.106269146	0147	0.106245147	148	0.1062231148	149	0.105625149	0150	0.105580150	151	0.1055493151	152	0.1055245152	153	0.1050755153	154	0.1049445154	155	0.1048940155	156	0.1048718156	157	0.1048011157	158	0.1047789158	159	0.1047463159	160	0.1047346160	161	0.1046806161	162	0.1045733162	163	0.104550216164	0.10452659771165	0.1044851226
166	0.1044398704
167	0.1042082668
168	0.1040192491
169	0.1039483195
170	0.1039483089
171	0.1038013137
172	0.1035242843
173	0.1034607951
174	0.1032622816
175	0.1032266249
176	0.103226623
177	0.1031632001
178	0.1031199861
179	0.1031170084
180	0.1030758263
181	0.1030596991
182	0.1030356029
183	0.1029009529
184	0.1028738132
185	0.1026582441
186	0.1026199611
187	0.1025537551
188	0.1025121363
189	0.1024860906
190	0.1024619487
191	0.1024266707
192	0.1024089315
193	0.102235808
194	0.1021336371
195	0.1021336355
196	0.1020898934
197	0.1020093446
198	0.1017994788
199	0.1016529667
200	0.1016038894
201	0.1015666931
202	0.1015420583
203	0.1015403847
204	0.1014507745
205	0.1014100927
206	0.101374512
207	0.1011809343
208	0.1011809337
209	0.1010591743
210	0.1010392128
211	0.1008270014
212	0.1007151482
213	0.1006923216
214	0.1006249409
215	0.1006120249
216	0.1006034375
217	0.1005238064
218	0.1004447361
219	0.1004012449
220	0.1003621473
221	0.1003597857
222	0.1003562354
223	0.1003337024
224	0.1003244734
225	0.1003095266
226	0.1002920811
227	0.1001985158
228	0.1001712641
229	0.1001486882
230	0.1000163539
231	0.1000131286
232	0.09992626238
233	0.09984062236
234	0.09983780537
235	0.09960508564
236	0.09947268728
237	0.09942336656
238	0.09942336656
239	0.09939713933
240	0.09928556966
241	0.09926491464
242	0.09923308083
243	0.09921139995
244	0.09895624571
245	0.09882513099
246	0.09878496938
247	0.09875385058
248	0.09861341166
249	0.09836854025
250	0.0983340241
251	0.09830844436
252	0.09830844306
253	0.09820659916
254	0.09818507092
255	0.09808765678
256	0.09807107061
257	0.0980516617
258	0.09800360658
259	0.09800360641
260	0.09787099892
261	0.09785321842
262	0.09781446549
263	0.09779725995
264	0.09778878678
265	0.09775886101
266	0.0977558157
267	0.09748536291
268	0.0974774143
269	0.09747217779
270	0.09727168948
271	0.09724679013
272	0.09717455622
273	0.09706913713
274	0.09694190404
275	0.09665402226
276	0.09663866944
277	0.09662652133
278	0.09660215019
279	0.09653642757
280	0.09635724085
281	0.09634802563
282	0.096334559
283	0.09630922048
284	0.09628655164
285	0.09605090219
286	0.09600289843
287	0.09598971743
288	0.09598400406
289	0.09596823132
290	0.09571406718
291	0.09569609429
292	0.09568080039
293	0.09556786309
294	0.09553898356
295	0.09538316575
296	0.09537213567
297	0.09534420328
298	0.09533192548
299	0.09506092097
300	0.09503160633
301	0.09498685874
302	0.094980516
303	0.09494664858
304	0.09468529583
305	0.09454192045
306	0.09452474063
307	0.09433991641
308	0.09421807908
309	0.0941854938
310	0.09416064162
311	0.09414384841
312	0.0941193298
313	0.09410106709
314	0.09398857141
315	0.09398464675
316	0.09396602418
317	0.09356802929
318	0.0935419365
319	0.09350420594
320	0.09342158883
321	0.09340870917
322	0.09333504004
323	0.09315282845
324	0.0931177966
325	0.09310056629
326	0.09309097931
327	0.09301375178
328	0.09300468668
329	0.09297046045
330	0.09286201342
331	0.09270059314
332	0.09246033971
333	0.09242308661
334	0.09237413093
335	0.09236240139
336	0.09234129971
337	0.0922872944
338	0.09225745778
339	0.09224532422
340	0.09223868927
341	0.09212716637
342	0.09211505628
343	0.09208851794
344	0.09195048601
345	0.09192465634
346	0.09183576804
347	0.09179427385
348	0.09176923936
349	0.09176231887
350	0.0917460956
351	0.09149163766
352	0.09147588771
353	0.0914514483
354	0.09143761883
355	0.09140121802
356	0.09133536914
357	0.09125973863
358	0.0912252877
359	0.09102415941
360	0.09100141953
361	0.09070346642
362	0.09067025436
363	0.09064423658
364	0.09063624564
365	0.09052603785
366	0.09047535736
367	0.09022774688
368	0.08977483247
369	0.08965760063
370	0.08934941961
371	0.0893143575
372	0.08930145023
373	0.08890397949
374	0.08863944481
375	0.08862369624
376	0.08838601651
377	0.08836072549
378	0.08826789913
379	0.08823589481
380	0.08818214664
381	0.08815787507
382	0.08794778734
383	0.08777972321
384	0.08776391795
385	0.08771225092
386	0.08750061222
387	0.08722959841
388	0.08680258679
389	0.08678080692
390	0.08673388293
391	0.08671305279
392	0.08653767216
393	0.08636538418
394	0.08620030888
395	0.08617462471
396	0.0860021127
397	0.08576865771
398	0.08527888077
399	0.08496132789
400	0.08476853122
401	0.08464165712
402	0.08439850037
403	0.08426098355
404	0.08413131113
405	0.08398943033
406	0.0838276074
407	0.08367253824
408	0.08350432333
409	0.08348847299
410	0.08346874211
411	0.08336284506
412	0.08323451529
413	0.08321569392
414	0.08317968279
415	0.08316298029
416	0.08314992321
417	0.08302961035
418	0.08283691292
419	0.08282329525
420	0.08271851262
421	0.08270350835
422	0.08268886389
423	0.08267662859
424	0.08266180481
425	0.08251040844
426	0.08249353308
427	0.08247583985
428	0.08234499484
429	0.08224411155
430	0.08223068565
431	0.08216127949
432	0.08189356832
433	0.0818742754
434	0.08181868601
435	0.08180459253
436	0.08178989288
437	0.08169651509
438	0.08168064329
439	0.08154293614
440	0.08149661794
441	0.08148316953
442	0.08113999311
443	0.08105313613
444	0.08103735815
445	0.08090828965
446	0.08067491698
447	0.08062806442
448	0.080505333
449	0.08048922851
450	0.08038085936
451	0.08036806862
452	0.08026612275
453	0.08018498687
454	0.07980226532
455	0.07973187691
456	0.07964115793
457	0.07962552963
458	0.07955929959
459	0.07920705579
460	0.07899456134
461	0.07893283175
462	0.07892166199
463	0.07876264395
464	0.07870436796
465	0.07859131215
466	0.07844851477
467	0.07837969273
468	0.07833060983
469	0.07813852979
470	0.07795082777
471	0.07763683602
472	0.07750643446
473	0.07734012944
474	0.07728045298
475	0.0769894887
476	0.07674101005
477	0.07658545485
478	0.07630165137
479	0.07628094769
480	0.07613534273
481	0.07603669897
482	0.07589676433
483	0.07576345985
484	0.07559488305
485	0.0752404825
486	0.07511588834
487	0.07496204389
488	0.07476351591
489	0.07470031668
490	0.07455254383
491	0.07448349409
492	0.07448348986
493	0.07441817579
494	0.07439930738
495	0.07429326244
496	0.07426678037
497	0.07415066018
498	0.07413402528
499	0.07412009077
0165969
497	0.06868740793
498	0.06866423326
499	0.06865761953
6
499	0.06278757591
